"","시도명","시군구명","도로종류","도로노선번호","도로노선명","도로노선방향","소재지도로명주소","소재지지번주소","위도"
"10985","경상북도","포항북부","시도","","우창로",2,"경상북도 김천시 대항면 대룡1길 56-43","경상북도 김천시 대항면 대룡리 542-6",36.13024329
"10986","경상북도","김천","일반국도","4호","영남대로",1,"경상북도 김천시 한일길 1","경상북도 김천시 교동 744-11",36.13503217
"10987","경상북도","김천","시도","","대학로",2,"경상북도 구미시 산호대로 521","경상북도 구미시 양호동 304",36.12901317
"10988","경상북도","구미","시도","","산호대로",2,"경상북도 구미시 거양길 249","경상북도 구미시 양호동 778",36.13027481
"10989","경상북도","구미","시도","","산호대로",1,"경상북도 포항시 북구 창흥로 76","경상북도 포항시 북구 창포동 425-2",36.06568827
"10990","경상북도","포항북부","시도","","우창로",1,"경상북도 구미시 문장로 100","경상북도 구미시 도량동 806",36.14155308
"10991","경상북도","구미","시도","","문장로",2,"경상북도 구미시 문장로 111","경상북도 구미시 도량동 868",36.14288759
"10992","경상북도","구미","시도","","문장로",1,"경상북도 포항시 북구 삼흥로 114","경상북도 포항시 북구 장성동 444",36.07214757
"10993","경상북도","포항북부","시도","","새천년대로",2,"경상북도 문경시 문경읍 새재로 715","경상북도 문경시 문경읍 진안리 347",36.74324044
"10994","경상북도","문경","시도","","새재로",1,"경상북도 문경시 문경읍 새재로 662","경상북도 문경시 문경읍 진안리 203",36.73981972
"10995","경상북도","문경","시도","","새재로",1,"","경상북도 경주시 양북면 구길리 1218-34",35.75092492
"10996","경상북도","경주","기타","","문무대왕로",1,"경상북도 칠곡군 석적읍 포망로 365","경상북도 칠곡군 석적읍 망정리 822-1",36.03921151
"10997","경상북도","칠곡","기타","","호국로",1,"경상북도 칠곡군 석적읍 도개5길 5","경상북도 칠곡군 석적읍 도개리 101",36.04970437
"10998","경상북도","칠곡","기타","","도개7길",1,"경상북도 봉화군 석포면 청옥로 1552-141","경상북도 봉화군 석포면 대현리 181",37.03807182
"10999","경상북도","봉화","일반국도","31호","청옥로",1,"경상북도 봉화군 소천면 청옥로 390","경상북도 봉화군 소천면 고선리 61-19",36.95632005
"11000","경상북도","봉화","일반국도","31호","청옥로",1,"경상북도 경산시 원효로 486","경상북도 경산시 신천동 66-7",35.81101541
"11001","경상북도","경산","기타","","원효로",2,"경상북도 경산시 들뫼길 133","경상북도 경산시 점촌동 221-5",35.80105792
"11002","경상북도","경산","시도","","삼성현로",2,"경상북도 칠곡군 왜관읍 아곡5길 131-21","경상북도 칠곡군 왜관읍 아곡리 717-5",36.00325345
"11003","경상북도","칠곡","기타","","호국로",2,"경상북도 칠곡군 가산면 호국로 1397","경상북도 칠곡군 가산면 학산리 296-8",36.04943081
"11004","경상북도","칠곡","기타","","호국로",1,"경상북도 칠곡군 가산면 경북대로 1140","경상북도 칠곡군 가산면 다부리 156",36.0520005
"11005","경기도","광명시","시도","해당없음","금하로",3,"","경기도 광명시 소하동 195",37.448632912
"11006","서울특별시","금천구","특별시도","0","디지털로9길 90",3,"서울특별시 금천구 디지털로9길90 블랙야크","서울특별시 금천구 가산동 121-58",37.48199614
"11007","전라북도","완산구","시도","해당없음","효자로",NA,"","전라북도 전주시 완산구 효자동3가 1554",35.8189012
"11008","경상북도","구미","시도","","공단로",1,"경상북도 경산시 진량읍 다문로 68","경상북도 경산시 진량읍 신상리 180-5",35.87472635
"11009","경상북도","경산","시도","","다문로",1,"경상북도 경산시 진량읍 다문로 166","경상북도 경산시 진량읍 신상리 1185",35.8769464
"11010","경상북도","경산","시도","","새마을로",1,"경상북도 문경시 매봉로 78","경상북도 문경시 모전동 산 17-3",36.59075014
"11011","경상북도","문경","기타","","청화로",1,"경상북도 문경시 농암면 내서서당길 109-19","경상북도 문경시 농암면 화산리 175",36.57286606
"11012","경상북도","문경","기타","","대야로",2,"경상북도 문경시 가은읍 대야로 1869","경상북도 문경시 가은읍 상괴리 457-1",36.66921222
"11013","경상북도","문경","기타","","여우목로",1,"경상북도 문경시 문경읍 여우목로 580","경상북도 문경시 문경읍 당포리 652",36.75244743
"11014","경상북도","문경","시도","","유곡불정로",2,"경상북도 문경시 유곡불정로 148","경상북도 문경시 유곡동 189-55",36.62558137
"11015","경상북도","문경","시도","","신기4길",1,"경상북도 문경시 신기4길 16-1","경상북도 문경시 신기동 67-152",36.63984571
"11016","경상북도","문경","시도","","막곡길",2,"경상북도 문경시 호계면 막곡길 11","경상북도 문경시 호계면 막곡리 184",36.63367557
"11017","경상북도","문경","시도","","산양로",2,"경상북도 문경시 산양면 산양로 49","경상북도 문경시 산양면 존도리 69-14",36.60960488
"11018","경상북도","문경","시도","","금천로",2,"경상북도 문경시 산북면 금천로 558","경상북도 문경시 산북면 대상리 57-6",36.65368924
"11019","경상북도","문경","시도","","호서로",2,"","경상북도 문경시 흥덕동 733-2",36.6035349
